,FECHA,DESDE,HASTA,LINEA,MOLINETE,ESTACION,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL
380760,20/8/2022,19:15:00,19:30:00,LineaB,LineaB_Lacroze_O_Turn04,Federico Lacroze,21,0,0,21
250380,13/8/2022,16:45:00,17:00:00,LineaB,LineaB_CallaoB_S_Turn01,Callao.B,63,0,1,64
106010,6/8/2022,08:45:00,09:00:00,LineaB,LineaB_Pueyr_N_Turn01,Pueyrredon,8,0,0,8
295842,16/8/2022,13:15:00,13:30:00,LineaA,LineaA_Acoyte_N_Turn04,Acoyte,17,0,1,18
438831,23/8/2022,22:00:00,22:15:00,LineaB,LineaB_Florida_O_Turn04,Florida,3,0,0,3
477862,25/8/2022,20:30:00,20:45:00,LineaB,LineaB_Lacroze_O_Turn01,Federico Lacroze,1,0,0,1
519728,27/8/2022,23:15:00,23:30:00,LineaA,LineaA_Peru_S_Turn03,Peru,5,0,0,5
553596,29/8/2022,21:30:00,21:45:00,LineaC,LineaC_Indepen_Turn03,Independencia,20,0,1,21
38116,2/8/2022,20:15:00,20:30:00,LineaB,LineaB_Pellegrini_E_Turn05,Carlos Pellegrini,45,0,1,46
467879,25/8/2022,11:45:00,12:00:00,LineaB,LineaB_Alem_S_Turn02,Leandro N. Alem,33,0,0,33
322698,17/8/2022,20:30:00,20:45:00,LineaC,LineaC_Constitucion_Plaza_Turn10,Constitucion,8,0,0,8
164768,9/8/2022,12:15:00,12:30:00,LineaB,LineaB_Pasteur_N_Turn03,Pasteur,17,0,0,17
301783,16/8/2022,18:15:00,18:30:00,LineaA,LineaA_CBarros_S_Turn01,Castro Barros,6,0,1,7
